TamanoMatriz;Procesos;Tiempo
1;2;0.029862
51;2;0.032341
101;2;0.031838
151;2;0.032187
201;2;0.031962
251;2;0.032514
301;2;0.035093
351;2;0.035475
401;2;0.036152
451;2;0.036547
501;2;0.037055
551;2;0.037419
601;2;0.037968
651;2;0.038707
701;2;0.039686
751;2;0.039743
801;2;0.041145
851;2;0.042027
901;2;0.042465
951;2;0.043706
1001;2;0.154678
1051;2;0.046129
1101;2;0.047020
1151;2;0.048060
1201;2;0.050213
1251;2;0.146864
1;4;0.022497
1;6;0.024889
51;4;0.028612
51;6;0.029276
101;4;0.025641
151;4;0.026219
101;6;0.035056
201;4;0.028393
251;4;0.024871
151;6;0.037079
301;4;0.031020
351;4;0.053114
201;6;0.035244
401;4;0.053209
251;6;0.035231
451;4;0.053769
301;6;0.031802
501;4;0.054015
351;6;0.031522
551;4;0.054509
401;6;0.032164
601;4;0.054916
451;6;0.054013
651;4;0.055826
501;6;0.058652
701;4;0.056679
551;6;0.056485
751;4;0.056618
601;6;0.058849
801;4;0.057152
651;6;0.057426
851;4;0.057590
701;6;0.060027
901;4;0.058422
751;6;0.057676
801;6;0.061400
951;4;0.059487
851;6;0.062447
1001;4;0.060022
901;6;0.062478
1051;4;0.060398
951;6;0.059921
1101;4;0.061400
1001;6;0.059868
1151;4;0.063416
1051;6;0.061352
1201;4;0.062688
1101;6;0.066237
1251;4;0.063453
1151;6;0.064571
1201;6;0.067392
1251;6;0.067332
1;18;0.003584
1;16;0.000787
1;14;0.009831
1;20;0.000793
1;22;0.000038
1;8;0.000917
1;12;0.013405
1;10;0.023554
51;14;0.032982
51;16;0.023708
51;18;0.023095
51;8;0.038294
51;22;0.021884
51;10;0.028344
51;12;0.026416
51;20;0.025523
101;14;0.034747
101;16;0.025043
101;18;0.022943
101;22;0.026585
101;8;0.020493
101;20;0.019694
101;10;0.029238
101;12;0.035170
151;16;0.022692
151;14;0.027393
151;18;0.023645
151;22;0.020599
151;8;0.021830
151;20;0.018685
151;10;0.037235
151;12;0.033398
201;14;0.032142
201;16;0.019168
201;18;0.030616
201;20;0.037527
201;22;0.024102
201;8;0.032940
201;10;0.037303
201;12;0.035299
251;16;0.020434
251;14;0.031185
251;18;0.024592
251;20;0.034779
251;22;0.042744
251;8;0.028792
251;10;0.036773
251;12;0.029882
301;14;0.037571
301;16;0.032429
301;18;0.019502
301;8;0.041644
301;10;0.026157
301;12;0.041866
301;20;0.031949
301;22;0.033865
351;16;0.029031
351;14;0.033171
351;18;0.027677
351;8;0.038692
351;10;0.035401
351;12;0.034463
351;20;0.038989
401;8;0.032542
351;22;0.031258
401;14;0.037727
401;16;0.032482
401;18;0.032892
401;10;0.038106
401;12;0.036680
451;8;0.034714
451;14;0.037723
451;16;0.033469
451;10;0.033311
401;20;0.039288
401;22;0.035736
451;18;0.033429
451;12;0.036383
501;8;0.055850
501;14;0.044376
501;16;0.033546
451;20;0.041154
451;22;0.036438
501;12;0.033682
551;8;0.058933
551;14;0.041348
551;10;0.056757
551;16;0.033827
551;12;0.035522
551;18;0.033489
501;22;0.036143
501;20;0.035454
601;8;0.061958
601;10;0.061249
601;14;0.041810
601;16;0.034244
601;12;0.056953
651;8;0.058012
601;18;0.034281
651;10;0.062043
551;22;0.036050
651;14;0.035464
551;20;0.034695
651;16;0.034473
651;12;0.060438
701;8;0.062155
701;10;0.060004
651;18;0.034014
701;14;0.067379
701;16;0.034231
601;22;0.036833
701;12;0.062281
601;20;0.034522
751;8;0.062183
751;10;0.058189
701;18;0.034232
751;14;0.062653
751;12;0.059286
751;16;0.055578
801;8;0.062022
651;22;0.037347
651;20;0.040505
801;10;0.060603
751;18;0.054554
801;12;0.060574
801;14;0.062144
801;16;0.055351
851;8;0.061246
851;10;0.063461
701;22;0.037118
701;20;0.040975
851;12;0.061644
801;18;0.055056
851;14;0.062458
901;8;0.059683
851;16;0.055886
901;10;0.059437
751;22;0.037012
901;12;0.061196
751;20;0.042148
851;18;0.055276
951;8;0.061110
901;14;0.062698
901;16;0.056653
951;10;0.058133
801;22;0.037417
951;12;0.061079
1001;8;0.068007
801;20;0.070167
951;14;0.064789
901;18;0.055780
1001;10;0.060201
951;16;0.057199
1001;12;0.079774
851;22;0.058741
1051;8;0.064357
1001;14;0.074037
951;18;0.056533
851;20;0.063922
1051;10;0.064430
1001;16;0.057653
1051;12;0.077822
1051;14;0.079307
1101;8;0.070097
1001;18;0.056586
901;22;0.058089
1051;16;0.058182
1101;10;0.062450
901;20;0.056693
1101;14;0.070150
1101;12;0.070468
1051;18;0.057258
1151;8;0.072434
951;22;0.058943
1101;16;0.058099
1151;10;0.065986
951;20;0.062773
1151;14;0.069992
1101;18;0.057605
1151;12;0.071527
1201;8;0.073475
1151;16;0.059038
1001;22;0.059150
1201;10;0.066002
1001;20;0.072305
1201;14;0.066661
1151;18;0.058245
1201;12;0.073447
1201;16;0.059966
1251;8;0.070644
1051;22;0.071010
1251;10;0.062736
1051;20;0.074357
1251;14;0.065742
1251;12;0.064930
1201;18;0.059073
1251;16;0.060765
1101;22;0.061230
1101;20;0.062904
1251;18;0.058772
1151;22;0.061714
1151;20;0.059776
1201;22;0.062847
1201;20;0.074638
1251;22;0.062334
1251;20;0.075598
1;28;0.008664
1;34;0.067816
1;36;0.051419
1;40;0.000115
1;38;0.000086
1;26;0.002571
1;24;0.004339
1;42;0.000092
1;30;0.000108
1;32;0.010216
51;28;0.021960
51;34;0.076737
51;36;0.070207
51;40;0.038041
51;38;0.033844
51;24;0.021737
51;26;0.027148
51;42;0.028838
101;28;0.023256
101;34;0.086749
101;36;0.084593
101;38;0.023882
101;40;0.030359
101;26;0.030843
101;42;0.038579
101;24;0.033825
51;30;0.040309
51;32;0.023696
151;28;0.025157
151;34;0.071711
151;36;0.072795
151;40;0.021948
151;42;0.034181
151;38;0.023278
151;26;0.016168
151;24;0.030669
101;30;0.031444
101;32;0.024167
201;28;0.028306
201;34;0.073822
151;30;0.032899
201;36;0.076344
201;38;0.032823
201;40;0.042652
201;26;0.016404
201;24;0.021775
201;42;0.157986
251;34;0.071082
251;28;0.026826
251;36;0.070135
251;40;0.029909
251;38;0.029196
251;26;0.016654
251;24;0.019017
251;42;0.146728
201;30;0.048097
151;32;0.017806
301;34;0.085596
301;28;0.034437
301;36;0.102505
301;40;0.017261
301;26;0.019625
301;24;0.024019
301;38;0.030209
351;34;0.095899
301;42;0.139017
351;28;0.034795
351;36;0.083867
201;32;0.017170
251;30;0.041331
351;24;0.025212
351;26;0.029408
351;40;0.026779
351;38;0.023665
401;34;0.068824
401;28;0.033230
401;36;0.096089
351;42;0.041568
401;24;0.033676
451;34;0.077366
451;28;0.043706
401;26;0.031517
401;40;0.025815
401;38;0.030825
451;36;0.098019
251;32;0.022093
301;30;0.033714
451;24;0.034258
401;42;0.027229
501;34;0.086252
501;28;0.040371
451;26;0.027041
501;36;0.085108
451;40;0.033811
451;38;0.031442
501;24;0.033594
501;26;0.032125
551;34;0.075854
551;28;0.039405
301;32;0.043267
351;30;0.038317
551;24;0.034270
551;36;0.096891
451;42;0.139101
501;40;0.027415
551;26;0.032632
601;34;0.095211
601;28;0.042555
601;24;0.034689
601;36;0.096180
351;32;0.020885
601;26;0.032801
401;30;0.032718
651;28;0.039909
651;34;0.090659
551;40;0.028695
551;38;0.032186
651;24;0.034179
501;42;0.047707
651;36;0.109356
651;26;0.033298
701;28;0.038022
701;34;0.081270
701;24;0.034671
601;40;0.034749
601;38;0.032845
401;32;0.042966
451;30;0.035244
701;26;0.033306
551;42;0.044769
701;36;0.109974
751;24;0.035665
751;28;0.042507
751;34;0.081466
751;26;0.033823
651;38;0.032842
651;40;0.036941
751;36;0.098978
801;24;0.035280
601;42;0.043947
801;28;0.035814
451;32;0.054562
501;30;0.048859
801;34;0.094455
801;26;0.034130
851;24;0.035513
801;36;0.092341
701;38;0.033377
701;40;0.046887
851;28;0.041102
851;34;0.097108
651;42;0.041557
851;26;0.034337
501;32;0.032616
901;24;0.056947
551;30;0.036540
851;36;0.098435
901;28;0.041952
751;38;0.033067
751;40;0.034080
901;26;0.034924
901;34;0.092841
701;42;0.043062
951;24;0.057421
901;36;0.105610
951;28;0.057518
951;26;0.056818
551;32;0.032982
951;34;0.078521
601;30;0.037008
801;38;0.034242
801;40;0.033838
1001;24;0.056965
751;42;0.047060
951;36;0.105747
1001;28;0.070242
1001;26;0.057636
1001;34;0.079349
1051;24;0.057655
851;38;0.034438
851;40;0.035219
601;32;0.030578
651;30;0.037902
801;42;0.055190
1051;26;0.057758
1051;28;0.063658
1001;36;0.092043
1051;34;0.096137
1101;24;0.057920
901;38;0.034166
901;40;0.037318
1101;26;0.058018
1051;36;0.098979
1101;28;0.060193
851;42;0.051215
701;30;0.046085
651;32;0.049971
1101;34;0.100283
1151;24;0.058884
951;38;0.035150
951;40;0.036487
1151;26;0.058530
1151;28;0.063710
1101;36;0.125245
1151;34;0.093149
1201;24;0.059438
901;42;0.049868
701;32;0.034483
751;30;0.036275
1201;26;0.059298
1001;38;0.035398
1001;40;0.035819
1201;28;0.060868
1251;24;0.059924
1151;36;0.128034
1201;34;0.103158
951;42;0.043172
1251;26;0.058692
751;32;0.034925
801;30;0.048260
1051;38;0.035957
1051;40;0.040286
1251;28;0.070753
1201;36;0.121824
1251;34;0.099845
1001;42;0.047398
801;32;0.035360
1101;38;0.061862
1101;40;0.037104
1251;36;0.126591
851;30;0.037740
1051;42;0.044953
851;32;0.059184
1151;38;0.062393
901;30;0.040673
1151;40;0.063595
901;32;0.049381
1101;42;0.038918
951;30;0.037539
1201;38;0.064952
1201;40;0.064422
951;32;0.036159
1151;42;0.047737
1001;30;0.070292
1251;38;0.065025
1001;32;0.036865
1251;40;0.068573
1051;30;0.072392
1201;42;0.083988
1051;32;0.071012
1101;30;0.063035
1251;42;0.071024
1101;32;0.061816
1151;30;0.063128
1151;32;0.077836
1201;30;0.074878
1201;32;0.063907
1251;30;0.073091
1251;32;0.078692
1;50;0.069069
1;52;0.063295
1;44;0.048857
1;46;0.000136
1;48;0.004220
1;54;0.016806
51;52;0.161731
51;50;0.165230
51;44;0.106282
51;46;0.042463
101;50;0.147942
101;52;0.168395
101;44;0.084152
101;46;0.031412
51;48;0.017538
51;54;0.030527
151;50;0.174853
151;52;0.180332
151;44;0.090160
151;46;0.046742
101;48;0.038259
201;50;0.156790
201;52;0.165487
201;44;0.093323
201;46;0.052830
101;54;0.025357
251;50;0.166943
151;48;0.042244
251;52;0.203159
251;44;0.090057
251;46;0.030724
301;50;0.175754
301;52;0.160416
151;54;0.028131
301;44;0.088800
201;48;0.045801
351;50;0.159094
351;52;0.175074
301;46;0.052541
351;44;0.086502
401;50;0.166282
401;52;0.164654
251;48;0.026224
201;54;0.022490
351;46;0.045416
401;44;0.091475
451;50;0.161240
451;52;0.187740
301;48;0.017233
451;44;0.087359
501;50;0.174396
401;46;0.029378
501;52;0.193911
251;54;0.022380
551;50;0.172414
501;44;0.115811
351;48;0.022717
551;52;0.178216
451;46;0.032212
601;50;0.192782
301;54;0.029776
551;44;0.105717
601;52;0.181862
401;48;0.031419
501;46;0.034297
651;50;0.167859
651;52;0.171166
601;44;0.116851
351;54;0.032797
701;50;0.169571
551;46;0.064513
451;48;0.030651
701;52;0.188273
651;44;0.119599
751;50;0.176932
601;46;0.031487
751;52;0.179129
501;48;0.032348
401;54;0.031042
701;44;0.111915
801;50;0.165403
801;52;0.184668
651;46;0.034398
751;44;0.111778
851;50;0.173681
551;48;0.031363
451;54;0.030669
851;52;0.178992
701;46;0.035475
901;50;0.167240
801;44;0.114834
901;52;0.185931
601;48;0.032608
951;50;0.164924
501;54;0.032096
751;46;0.034623
851;44;0.109200
951;52;0.190552
1001;50;0.187666
651;48;0.031900
801;46;0.034578
901;44;0.114378
1001;52;0.173311
551;54;0.030785
1051;50;0.186745
701;48;0.031980
951;44;0.128884
851;46;0.036035
1051;52;0.187087
1101;50;0.178351
601;54;0.033686
1001;44;0.118873
1101;52;0.184410
901;46;0.057696
751;48;0.036126
1151;50;0.172578
651;54;0.033461
1151;52;0.194895
1051;44;0.116145
951;46;0.073752
801;48;0.035249
1201;50;0.189699
1101;44;0.108627
1201;52;0.192152
701;54;0.031839
1001;46;0.035311
1251;50;0.181073
851;48;0.035069
1151;44;0.123317
1251;52;0.192312
1051;46;0.036781
751;54;0.031907
901;48;0.034643
1201;44;0.116807
1101;46;0.037827
801;54;0.033857
951;48;0.035505
1251;44;0.113728
1151;46;0.038247
1001;48;0.036910
851;54;0.058714
1201;46;0.039113
1051;48;0.037094
901;54;0.034844
1251;46;0.066336
1101;48;0.036970
951;54;0.035123
1151;48;0.037717
1001;54;0.035243
1201;48;0.038296
1051;54;0.035967
1251;48;0.064021
1101;54;0.036707
1151;54;0.037174
1;58;0.053745
1;56;0.005870
1201;54;0.037945
51;58;0.140188
101;58;0.173199
51;56;0.045965
1251;54;0.038023
151;58;0.183137
101;56;0.018908
201;58;0.147678
251;58;0.180742
301;58;0.191608
151;56;0.051916
351;58;0.179918
201;56;0.038655
401;58;0.297885
451;58;0.297201
251;56;0.033470
501;58;0.277216
301;56;0.025939
551;58;0.259737
601;58;0.264073
351;56;0.025272
651;58;0.271409
401;56;0.042047
701;58;0.263454
451;56;0.034485
751;58;0.243047
801;58;0.298297
501;56;0.031737
851;58;0.221628
551;56;0.030951
901;58;0.251746
951;58;0.208721
601;56;0.026514
1001;58;0.207808
651;56;0.031530
1051;58;0.218876
701;56;0.033746
1101;58;0.172328
751;56;0.034054
1151;58;0.216436
1201;58;0.176853
801;56;0.033934
1251;58;0.216387
851;56;0.034663
901;56;0.035899
951;56;0.034680
1001;56;0.035790
1051;56;0.036075
1101;56;0.036696
1;62;0.000099
1;60;0.019577
1;64;0.007660
1151;56;0.038202
51;62;0.046516
51;60;0.043875
51;64;0.018242
1201;56;0.037480
101;62;0.045622
101;60;0.045416
101;64;0.049467
1251;56;0.037649
151;62;0.024687
151;60;0.098707
151;64;0.044278
201;62;0.041282
201;60;0.030299
251;62;0.048217
201;64;0.082738
251;60;0.030580
301;62;0.021368
301;60;0.041158
251;64;0.163544
351;62;0.027923
351;60;0.020169
301;64;0.061468
401;62;0.044321
401;60;0.024746
451;62;0.075486
351;64;0.176663
501;62;0.032187
451;60;0.036290
401;64;0.045145
551;62;0.033416
501;60;0.031102
451;64;0.163137
601;62;0.033025
551;60;0.033079
501;64;0.057539
651;62;0.034288
601;60;0.031768
701;62;0.033386
551;64;0.174128
651;60;0.031921
751;62;0.035179
601;64;0.039767
801;62;0.034836
701;60;0.033390
651;64;0.045742
851;62;0.029534
751;60;0.032308
901;62;0.077968
801;60;0.034196
701;64;0.047067
951;62;0.085432
851;60;0.034909
751;64;0.047042
1001;62;0.078099
901;60;0.036100
801;64;0.053322
1051;62;0.084397
951;60;0.034998
851;64;0.039943
1101;62;0.037191
1001;60;0.036962
901;64;0.184927
1151;62;0.037218
1051;60;0.036248
951;64;0.047135
1201;62;0.038422
1101;60;0.036933
1001;64;0.047476
1251;62;0.040595
1151;60;0.036891
1051;64;0.194704
1201;60;0.037116
1101;64;0.048583
1251;60;0.037993
1151;64;0.181230
1201;64;0.049563
1251;64;0.043956
1301;2;0.047710
1351;2;0.048430
1401;2;0.050040
1451;2;0.050269
1501;2;0.052595
1551;2;0.053609
1601;2;0.055623
1651;2;0.055719
1701;2;0.058498
1751;2;0.059876
1801;2;0.061424
1851;2;0.062510
1901;2;0.065329
1951;2;0.065536
2001;2;0.067155
2051;2;0.071580
2101;2;0.072117
2151;2;0.079177
2201;2;0.076032
2251;2;0.078114
2301;2;0.080043
2351;2;0.082610
2401;2;0.085032
2451;2;0.086558
2501;2;0.088750
2551;2;0.091664
2601;2;0.093868
2651;2;0.095969
2701;2;0.098825
2751;2;0.101434
2801;2;0.104214
2851;2;0.106519
2901;2;0.110141
2951;2;0.112588
3001;2;0.115314
3051;2;0.117725
3101;2;0.120454
3151;2;0.122592
3201;2;0.127014
3251;2;0.128641
3301;2;0.132457
3351;2;0.135644
3401;2;0.138484
3451;2;0.139204
3501;2;0.147081
3551;2;0.148338
3601;2;0.151483
1301;4;0.093535
1351;4;0.107980
1401;4;0.098724
3651;2;0.155056
1451;4;0.107456
1501;4;0.110675
1551;4;0.107905
1601;4;0.114680
3701;2;0.156417
1651;4;0.107914
1701;4;0.118406
1751;4;0.109256
3751;2;0.161296
1801;4;0.097556
1851;4;0.120226
1901;4;0.128778
3801;2;0.165525
1951;4;0.120893
2001;4;0.119217
2051;4;0.127220
3851;2;0.168890
2101;4;0.141807
2151;4;0.134987
3901;2;0.172838
2201;4;0.137080
2251;4;0.136000
2301;4;0.144386
3951;2;0.175812
2351;4;0.101707
2401;4;0.149872
4001;2;0.179165
2451;4;0.137082
2501;4;0.170645
4051;2;0.181101
2551;4;0.160961
2601;4;0.178810
4101;2;0.191458
2651;4;0.162997
2701;4;0.178601
4151;2;0.189446
2751;4;0.176140
2801;4;0.181228
4201;2;0.192099
2851;4;0.188051
4251;2;0.197980
2901;4;0.180179
2951;4;0.194041
4301;2;0.200707
3001;4;0.182826
3051;4;0.183770
4351;2;0.207510
3101;4;0.182385
4401;2;0.210232
3151;4;0.192846
3201;4;0.127152
4451;2;0.214338
3251;4;0.221221
3301;4;0.204885
4501;2;0.218157
3351;4;0.209349
4551;2;0.225878
3401;4;0.199257
3451;4;0.236958
4601;2;0.226492
3501;4;0.189118
3551;4;0.221518
4651;2;0.231631
3601;4;0.248308
4701;2;0.238151
3651;4;0.226902
3701;4;0.229717
4751;2;0.243975
3751;4;0.235727
4801;2;0.241556
3801;4;0.249882
3851;4;0.266922
4851;2;0.251661
3901;4;0.241154
4901;2;0.256505
3951;4;0.251484
4951;2;0.257666
4001;4;0.264383
4051;4;0.293711
5001;2;0.260080
1301;6;0.067159
1301;10;0.065988
1301;8;0.065231
1301;12;0.067017
1301;14;0.066783
1301;16;0.062015
1301;18;0.061511
1351;6;0.068543
1351;8;0.066172
1351;10;0.064389
1351;12;0.067256
1351;14;0.067235
1351;16;0.062618
1351;18;0.060808
4101;4;0.267896
1401;8;0.069033
1401;6;0.067461
1401;10;0.065403
1401;12;0.067822
1401;14;0.066967
1401;18;0.061322
1401;16;0.063042
1451;6;0.069631
1451;8;0.066653
1451;10;0.067619
1451;12;0.068667
1451;14;0.068302
1451;18;0.062253
1451;16;0.063716
1501;6;0.071667
1501;8;0.068917
1501;10;0.066444
1501;12;0.069844
1501;14;0.069388
1501;18;0.063980
1501;16;0.064970
1551;6;0.070939
1551;8;0.067794
1551;10;0.070381
1551;12;0.071027
1551;14;0.068160
1551;18;0.062858
1551;16;0.065220
1601;6;0.071871
1601;8;0.070666
1601;10;0.068409
1601;12;0.071716
4151;4;0.264446
1601;14;0.071722
1651;6;0.072110
1601;18;0.064408
1601;16;0.065567
1651;8;0.070503
1651;10;0.070500
1651;12;0.073631
1651;14;0.072480
1701;6;0.073719
1701;8;0.072918
1651;18;0.065140
1651;16;0.067042
1701;10;0.071089
1701;12;0.074375
1751;6;0.074661
1701;14;0.073918
1751;8;0.072775
1701;18;0.065639
1751;10;0.073511
1701;16;0.067695
1751;12;0.075713
1751;14;0.075057
1801;8;0.074526
1801;6;0.078122
1801;10;0.074798
1751;16;0.068472
1751;18;0.066521
1801;12;0.081822
1801;14;0.076292
1851;8;0.074864
1851;6;0.078622
1851;10;0.077042
4201;4;0.280435
1801;16;0.069723
1801;18;0.067417
1851;12;0.080136
1901;8;0.074869
1851;14;0.077189
1901;6;0.079882
1901;10;0.074157
1851;16;0.070721
1851;18;0.068311
1901;12;0.079865
1951;8;0.075428
1951;6;0.081086
1901;14;0.078485
1951;10;0.076275
4251;4;0.200218
1901;16;0.071644
1901;18;0.068998
1951;12;0.081160
2001;8;0.078178
2001;6;0.082606
1951;14;0.080298
2001;10;0.078987
1951;16;0.072992
1951;18;0.069681
2051;8;0.079155
2051;6;0.083031
2001;12;0.081773
2001;14;0.079713
2051;10;0.078585
2001;16;0.073383
2001;18;0.071010
2101;8;0.081265
2101;6;0.084611
2051;12;0.084269
2101;10;0.080762
2051;14;0.082285
2051;16;0.074508
2051;18;0.071830
2151;8;0.081175
2151;6;0.088788
2101;12;0.086519
2151;10;0.080775
2101;14;0.083461
4301;4;0.280487
2101;16;0.075909
2101;18;0.072858
2201;8;0.083181
2201;6;0.088770
2201;10;0.082463
2151;12;0.094143
2151;14;0.084531
2151;16;0.076698
2151;18;0.073639
2251;6;0.087248
2251;8;0.083476
2251;10;0.083433
2201;12;0.089326
2201;14;0.085861
2201;16;0.077812
2201;18;0.075009
2301;6;0.088524
2301;8;0.084175
2301;10;0.083512
2251;12;0.089270
2251;14;0.087267
4351;4;0.301226
2351;6;0.090226
2251;16;0.079743
2251;18;0.075775
2351;8;0.086068
2351;10;0.084521
2301;12;0.089621
2301;14;0.088160
2401;6;0.118161
2401;8;0.087793
2301;16;0.079823
2301;18;0.076554
2401;10;0.086002
2351;12;0.136645
2351;14;0.089792
2451;6;0.112032
2451;8;0.089942
2351;18;0.077498
2351;16;0.081054
2451;10;0.087587
2401;12;0.094370
2401;14;0.091828
2501;6;0.118661
4401;4;0.306941
2501;8;0.088851
2401;18;0.079210
2401;16;0.083048
2501;10;0.090179
2451;12;0.109395
2451;14;0.092207
2551;6;0.113142
2551;8;0.091299
2451;18;0.079504
2451;16;0.084544
2551;10;0.092692
2501;12;0.111936
2501;14;0.093769
2601;8;0.091740
2601;10;0.092153
2601;6;0.107761
2501;18;0.081118
2501;16;0.083998
4451;4;0.308891
2551;14;0.093848
2551;12;0.114019
2651;8;0.094735
2651;10;0.093026
2651;6;0.123286
2551;18;0.082993
2551;16;0.086852
2601;12;0.110619
2601;14;0.096614
2701;8;0.095930
2701;10;0.095671
2601;18;0.083601
2601;16;0.087198
2701;6;0.123520
2651;14;0.096065
2651;12;0.115449
1301;20;0.063212
2651;18;0.084011
2751;8;0.097284
2751;10;0.096295
2751;6;0.125787
1351;20;0.061868
2651;16;0.088627
4501;4;0.331842
1401;20;0.062205
2701;14;0.097661
2701;12;0.116765
2801;6;0.117086
2701;18;0.085291
2801;8;0.099320
1451;20;0.063425
2801;10;0.096921
2701;16;0.089790
2751;14;0.099742
1501;20;0.063484
2751;12;0.113702
2851;6;0.118057
2751;18;0.087423
1551;20;0.069799
2851;10;0.096722
2851;8;0.100025
2751;16;0.091326
2801;14;0.101756
2801;12;0.112383
1601;20;0.066244
4551;4;0.324675
2901;6;0.109483
2801;18;0.088274
2901;10;0.100596
2901;8;0.103251
1651;20;0.066388
2801;16;0.092229
2851;14;0.104118
2851;12;0.105520
1701;20;0.067467
2951;6;0.136809
2851;18;0.089613
2951;10;0.102975
2951;8;0.105199
2851;16;0.094748
1751;20;0.068296
2901;14;0.104546
2901;12;0.124393
1801;20;0.069417
3001;6;0.121527
2901;18;0.091681
3001;10;0.103555
3001;8;0.103787
4601;4;0.335766
2901;16;0.094824
1851;20;0.070077
2951;14;0.106321
2951;12;0.113999
1901;20;0.071524
3051;6;0.142537
2951;18;0.093098
3051;10;0.104377
3051;8;0.107234
2951;16;0.096659
1951;20;0.072151
3001;14;0.107150
3001;12;0.126132
2001;20;0.073098
3101;6;0.142357
3001;18;0.093407
3101;10;0.105997
3101;8;0.108277
3001;16;0.098695
4651;4;0.331072
3051;14;0.109816
2051;20;0.074427
3051;12;0.129342
3151;6;0.143208
3051;18;0.095050
3151;10;0.109433
3151;8;0.110900
2101;20;0.075585
3051;16;0.099173
3101;14;0.110977
3101;12;0.130377
2151;20;0.076215
3201;6;0.146901
3101;18;0.096229
3201;10;0.110766
3201;8;0.112662
3101;16;0.100371
2201;20;0.077422
